Time,SocketID,Time,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSentUnique,pktSndLoss,pktSndDrop,pktRetrans,pktSndFilterExtra,byteSent,byteSentUnique,byteSndDrop,byteAvailSndBuf,msSndBuf,mbpsSendRate,usPktSndPeriod,pktRecv,pktRecvUnique,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss,byteRecv,byteRecvUnique,byteRcvLoss,byteRcvDrop,byteAvailRcvBuf,msRcvBuf,mbpsRecvRate,msRcvTsbPdDelay
1123,736299331,1123,8192,8192,0,0.07,9.84,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,10,1046,1046,0,0,0,0,0,0,0,1422560,1422560,0,0,12228000,34,10.1266,50
2194,736299331,2194,8192,8192,0,0.03,9.936,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,10,1000,1000,0,0,0,0,0,0,0,1360000,1360000,0,0,12228000,44,10.1621,50
