Time,SocketID,Time,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSentUnique,pktSndLoss,pktSndDrop,pktRetrans,pktSndFilterExtra,byteSent,byteSentUnique,byteSndDrop,byteAvailSndBuf,msSndBuf,mbpsSendRate,usPktSndPeriod,pktRecv,pktRecvUnique,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss,byteRecv,byteRecvUnique,byteRcvLoss,byteRcvDrop,byteAvailRcvBuf,msRcvBuf,mbpsRecvRate,msRcvTsbPdDelay
1113,873603620,1113,8192,8192,0,0.02,9.96,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,10,1047,1047,0,0,0,0,0,0,0,1423920,1423920,0,0,12225000,34,10.2268,50
2178,873603620,2178,8192,8192,0,0.018,9.984,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,10,1000,1000,0,0,0,0,0,0,0,1360000,1360000,0,0,12225000,44,10.2235,50
